"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"214",99,0.40624,"RCE","L5","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"215",39,0.54772,"RCE","L6","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"216",0,0.1051,"RCE_Calb","L1","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"217",3,0.32742,"RCE_Calb","L23","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"218",3,0.34763,"RCE_Calb","L4","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"219",57,0.40624,"RCE_Calb","L5","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"220",24,0.54772,"RCE_Calb","L6","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"221",5,0.1051,"CalbnegRCE","L1","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"222",38,0.32742,"CalbnegRCE","L23","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"223",70,0.34763,"CalbnegRCE","L4","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"224",39,0.40624,"CalbnegRCE","L5","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"225",26,0.54772,"CalbnegRCE","L6","171215_M83-154-3","171215_M83-153-3_005","Mafb+/fl","P21"
"226",1,0.10229,"RCE","L1","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"227",28,0.30358,"RCE","L23","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"228",31,0.25573,"RCE","L4","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"229",109,0.36133,"RCE","L5","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"230",53,0.45867,"RCE","L6","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"231",0,0.10229,"RCE_Calb","L1","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"232",5,0.30358,"RCE_Calb","L23","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"233",0,0.25573,"RCE_Calb","L4","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"234",46,0.36133,"RCE_Calb","L5","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"235",26,0.45867,"RCE_Calb","L6","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"236",1,0.10229,"CalbnegRCE","L1","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"237",18,0.30358,"CalbnegRCE","L23","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"238",25,0.25573,"CalbnegRCE","L4","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"239",22,0.36133,"CalbnegRCE","L5","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"240",17,0.45867,"CalbnegRCE","L6","171215_M83-154-3","171215_M83-153-3_006","Mafb+/fl","P21"
"241",1,0.1461,"RCE","L1","171215_M83-154-3","171215_M83-153-3_007","Mafb+/fl","P21"
"242",19,0.37657,"RCE","L23","171215_M83-154-3","171215_M83-153-3_007","Mafb+/fl","P21"
"243",28,0.31072,"RCE","L4","171215_M83-154-3","171215_M83-153-3_007","Mafb+/fl","P21"
"244",98,0.41156,"RCE","L5","171215_M83-154-3","171215_M83-153-3_007","Mafb+/fl","P21"
"245",39,0.5412,"RCE","L6","171215_M83-154-3","171215_M83-153-3_007","Mafb+/fl","P21"
