"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"201",2,0.12305,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"202",7,0.37901,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"203",2,0.28549,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"204",3,0.3101,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"205",2,0.4512,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"206",2,0.12305,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"207",29,0.37901,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"208",17,0.28549,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"209",18,0.3101,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"210",4,0.4512,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_014","Mafb-fl/+","P21"
"211",0,0.16471,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"212",17,0.40086,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"213",23,0.31354,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"214",68,0.36514,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"215",61,0.6251,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"216",0,0.16471,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"217",7,0.40086,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"218",3,0.31354,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"219",6,0.36514,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"220",2,0.6251,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"221",1,0.16471,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"222",36,0.40086,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"223",19,0.31354,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"224",16,0.36514,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"225",8,0.6251,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_015","Mafb-fl/+","P21"
"226",4,0.17283,"RCE","L1","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"227",30,0.43007,"RCE","L23","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"228",33,0.26528,"RCE","L4","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"229",75,0.40997,"RCE","L5","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"230",46,0.56873,"RCE","L6","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"231",4,0.17283,"RCE_CR","L1","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"232",16,0.43007,"RCE_CR","L23","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"233",2,0.26528,"RCE_CR","L4","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"234",6,0.40997,"RCE_CR","L5","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"235",8,0.56873,"RCE_CR","L6","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"236",0,0.17283,"CRnegRCE","L1","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"237",32,0.43007,"CRnegRCE","L23","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"238",20,0.26528,"CRnegRCE","L4","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
"239",14,0.40997,"CRnegRCE","L5","171215-M91-3B","171215-M83-3B-HET_001","Mafb-fl/+","P21"
